"ApplicationID","Name-Nom","Department-Département","OrganizationID","Institution-Établissement","ProvinceEN","ProvinceFR","CountryEN","CountryFR","FiscalYear-Exercice financier","CompetitionYear-Année de concours","AwardAmount","ProgramID","ProgramNaneEN","ProgramNameFR","GroupEN","GroupFR","CommitteeCode","CommitteeNameEN","CommitteeNameFR","AreaOfApplicationCode","AreaOfApplicationGroupEN","AreaOfApplicationGroupFR","AreaOfApplicationEN","AreaOfApplicationFR","ResearchSubjectCode","ResearchSubjectGroupEN","ResearchSubjectGroupFR","ResearchSubjectEN","ResearchSubjectFR","Partie","Nb_Partie","ApplicationTitle","Keyword","ApplicationSummary"
"37284-2002","Saini, Hargurdeep","Biology, UTM",31,"University of Toronto","Ontario","Ontario","CANADA","CANADA",2011,2002,63780,"RGPIN","Discovery Grants Program - Individual","Programme de subventions à la découverte - individuelles","Discovery grants programs","Programmes de subventions à la découverte",3,"Plant Biology & Food Science","Biol vég/sc alimentaire",1201,"Advancement of knowledge","Avancement des connaissances","Life sciences (including biotechnology)","Sciences de la vie (y compris biotechnologie)",4902,"Plant and treebiology","Biologie végétale et des arbres","Stress physiology","Physiologie du stress",8,8,"Methylated sulfur and halogen volatiles from plants: synthesis, regulation, metabolic engineering and biological significance","NSERC","No summary - Aucun sommaire"
"259531-2002","Winnacker, ErnstLudwig","Head Office",17205,"Human Frontier Science Program",,,"FRANCE","FRANCE",2011,2002,402750,"CHRPJ","Collaborative Health Research Projects","Projets de recherche concertée sur la santé","Discovery grants programs","Programmes de subventions à la découverte",360,"Collaborative Health Research Projects Selection Panel","Comité de sélection de projets de recherche concertée sur la santé",9999,"Not available","Non disponible","Not available","Non disponible",9999,"Not available","Non disponible","Not available","Non disponible",10,12,"Human Frontier Science Program","NSERC","No summary - Aucun sommaire"
"1000201593-2002","Larter, Stephen","Geology & Geophysics, Faculty of Science",11,"University of Calgary","Alberta","Alberta","CANADA","CANADA",2011,2002,50000,"CRC","Canada Research Chairs","Chaires de recherche du Canada","Discovery grants programs","Programmes de subventions à la découverte",9998,"Canada Research Chair Selection Committee","Comité de sélection des Chaires de recherche du Canada",9999,"Not available","Non disponible","Not available","Non disponible",4000,"Earth science","Sciences de la terre","Earth science (see also marine geology 4604)","Sciences de la terre (voir aussi géologie marine, 4604)",0,,"Canada Research Chair in Petroleum Geology","CRC","No summary - Aucun sommaire"
"9829-2003","Miller, John","Earth and Space Science and Engineering",38,"York University","Ontario","Ontario","CANADA","CANADA",2011,2003,31700,"RGPIN","Discovery Grants Program - Individual","Programme de subventions à la découverte - individuelles","Discovery grants programs","Programmes de subventions à la découverte",9,"Environmental Earth Sciences","Sc. de la Terre : environ.",405,"Environment","Environnement","Modelling and mathematical simulation of natural processes","Modélisation et simulation mathématique des processus naturels",4102,"Geographical information","Information géographique","Remote sensing","Télédétection",7,7,"Remote monitoring methods of vegetation functioning","NSERC","No summary - Aucun sommaire"
"217037-2003","SchroderAdams, Claudia","Earth Sciences",23,"Carleton University","Ontario","Ontario","CANADA","CANADA",2011,2003,27450,"RGPIN","Discovery Grants Program - Individual","Programme de subventions à la découverte - individuelles","Discovery grants programs","Programmes de subventions à la découverte",8,"Solid Earth Sciences","Sciences de la Terre solide",301,"Energy resources","Ressources d'énergie","Oil, gas and coal","Pétrole, gaz et charbon",4006,"Earth science","Sciences de la terre","Stratigraphy","Stratigraphie",8,8,"Multidisciplinary analysis of canadian mesozoic foreland and fore-and backarc basins","NSERC","No summary - Aucun sommaire"
